workload	timestamp	pit
17000	0	50000
16000	50	48025.9
16000	100	16465.166
19000	150	17742.6
10000	200	30416.1
16000	250	16697.348
13000	300	53643.125
12000	350	75037.5
10000	400	42493.8
12000	450	40881.184
11000	500	69077.555
11000	550	66502.36
16000	600	37885.83
16000	650	37201.848
15000	700	52360.035
14000	750	74373.86
19000	800	100555.54
15000	850	97478.67
17000	900	42529
12000	950	61670.47
20000	1000	71117.27
19000	1050	7851.125
18000	1100	15399.75
13000	1150	10942
12000	1200	21641.666
10000	1250	75113.81
19000	1300	63587.51
13000	1350	95891.98
11000	1400	79449.3
14000	1450	49546.61
16000	1500	80350.29
12000	1550	63399.77
20000	1600	72148.836
15000	1650	37824.555
12000	1700	61930.832
10000	1750	66449.95
16000	1800	40569.07
19000	1850	43582.918
15000	1900	75285.88
18000	1950	83743.555
13000	2000	94555.4
13000	2050	73184.266
18000	2100	61299.867
19000	2150	86906.82
19000	2200	67589.14
14000	2250	52612.254
14000	2300	84678.19
16000	2350	82142.35
12000	2400	62595.61
18000	2450	52768.32
14000	2500	57760.273
17000	2550	21201.459
14000	2600	28003.7
15000	2650	17002.572
13000	2700	57486.094
14000	2750	65729.53
10000	2800	35285.38
14000	2850	70093.93
10000	2900	63894.824
12000	2950	27436.822
18000	3000	58770.5
12000	3050	39505.586
18000	3100	28620.613
15000	3150	33321.83
16000	3200	64799
20000	3250	12877.2
16000	3300	14212.363
14000	3350	22703.318
19000	3400	8887.321
18000	3450	26126.379
16000	3500	22209.898
17000	3550	14923.082
15000	3600	19295.723
12000	3650	20543.61
20000	3700	14691.788
16000	3750	20992.318
12000	3800	20727.8
15000	3850	31294.1
10000	3900	22604.555
10000	3950	16213.919
13000	4000	16640.559
18000	4050	36625
17000	4100	55695
16000	4150	36042
20000	4200	15553
13000	4250	8891
13000	4300	8773
17000	4350	65338
20000	4400	10893
11000	4450	31504
14000	4500	80202
18000	4550	16300.5
15000	4600	46466
17000	4650	35964
19000	4700	21845
20000	4750	6688.5
17000	4800	15466.333
15000	4850	10693
10000	4900	13091
12000	4950	10763
11000	5000	17754
11000	5050	32205
14000	5100	132164
10000	5150	42488
14000	5200	273755
17000	5250	24362
16000	5300	9132
13000	5350	369
15000	5400	7087
20000	5450	22072
17000	5500	27004
13000	5550	61126
11000	5600	26516
11000	5650	17062
12000	5700	15078
10000	5750	10663
20000	5800	18017.334
16000	5850	20878
18000	5900	12729
15000	5950	15466
13000	6000	26141
11000	6050	33251
12000	6100	26899.834
18000	6150	26560
14000	6200	28834.4
18000	6250	23086
13000	6300	11307
11000	6350	29610
16000	6400	31575.143
19000	6450	22746.666
18000	6500	80988
13000	6550	35698.5
17000	6600	4007.2
17000	6650	3545.3333
13000	6700	3749.5
14000	6750	12489
16000	6800	69236
10000	6850	35129
16000	6900	13519.5
12000	6950	46507.5
18000	7000	20204.4
17000	7050	16463.5
17000	7100	18402.5
10000	7150	23183.666
11000	7200	28576.25
15000	7250	31482.2
15000	7300	19732
16000	7350	28246.2
13000	7400	67852
11000	7450	16203.333
10000	7500	46358
17000	7550	17237
15000	7600	31507
18000	7650	7484
16000	7700	13740
17000	7750	15878.333
16000	7800	24784.1
12000	7850	16276.375
11000	7900	10623.5
13000	7950	10396
15000	8000	18624.625
10000	8050	9672
18000	8100	3657.5
19000	8150	6082.5
10000	8200	33765.75
16000	8250	20345.334
10000	8300	3902.5
18000	8350	8617.5
12000	8400	9933.333
19000	8450	52163.75
15000	8500	23220.334
13000	8550	30634
19000	8600	41378
13000	8650	41792
