workload,type,date_time,total_http
10000,tomcat,0,131.680007
10000,tomcat,50,115.940001
10000,tomcat,100,110.359989
10000,tomcat,150,103.419998
10000,tomcat,200,100.300014
10000,tomcat,250,112.759979
10000,tomcat,300,119.880039
10000,tomcat,350,143.799987
10000,tomcat,400,145.259974
10000,tomcat,450,145.260025
10000,tomcat,500,145.540026
10000,tomcat,550,144.059998
10000,tomcat,600,145.039992
10000,tomcat,650,144.520039
10000,tomcat,700,142.220043
10000,tomcat,750,140.420018
10000,tomcat,800,140.840012
10000,tomcat,850,146.460018
10000,tomcat,900,142.660013
10000,tomcat,950,141.760000
10000,tomcat,1000,141.259987
10000,tomcat,1050,136.860012
10000,tomcat,1100,127.640004
10000,tomcat,1150,118.880011
10000,tomcat,1200,115.499970
10000,tomcat,1250,108.440006
10000,tomcat,1300,101.380013
10000,tomcat,1350,92.899993
10000,tomcat,1400,80.180010
10000,tomcat,1450,82.219986
10000,tomcat,1500,99.259999
10000,tomcat,1550,87.239988
10000,tomcat,1600,78.959991
10000,tomcat,1650,70.920045
10000,tomcat,1700,66.759991
10000,tomcat,1750,63.079999
10000,tomcat,1800,77.339989
10000,tomcat,1850,83.939995
10000,tomcat,1900,89.580015
10000,tomcat,1950,77.000018
10000,tomcat,2000,67.399995
10000,tomcat,2050,123.959991
10000,tomcat,2100,188.799990
10000,tomcat,2150,191.000000
10000,tomcat,2200,191.000000
10000,tomcat,2250,191.000000
10000,tomcat,2300,191.000000
10000,tomcat,2350,191.000000
10000,tomcat,2400,188.519983
10000,tomcat,2450,140.780018
10000,tomcat,2500,111.300035
10000,tomcat,2550,104.520018
10000,tomcat,2600,96.719982
10000,tomcat,2650,94.899985
10000,tomcat,2700,104.740010
10000,tomcat,2750,96.579997
10000,tomcat,2800,80.280034
10000,tomcat,2850,79.619949
10000,tomcat,2900,81.619982
10000,tomcat,2950,85.999979
10000,tomcat,3000,90.080021
10000,tomcat,3050,86.679966
10000,tomcat,3100,95.660013
10000,tomcat,3150,94.579988
10000,tomcat,3200,92.159979
10000,tomcat,3250,115.980017
10000,tomcat,3300,132.200042
10000,tomcat,3350,133.120020
10000,tomcat,3400,113.520042
10000,tomcat,3450,115.899967
10000,tomcat,3500,117.159985
10000,tomcat,3550,124.820021
10000,tomcat,3600,117.239978
10000,tomcat,3650,116.899983
10000,tomcat,3700,112.579993
10000,tomcat,3750,104.339983
10000,tomcat,3800,108.259989
10000,tomcat,3850,115.159976
10000,tomcat,3900,105.739989
10000,tomcat,3950,99.779985
10000,tomcat,4000,100.620005
10000,tomcat,4050,108.440017
10000,tomcat,4100,85.619987
10000,tomcat,4150,77.659986
10000,tomcat,4200,70.479993
10000,tomcat,4250,69.520010
10000,tomcat,4300,60.820004
